Date,Price
2022-06-07,2514.00
2022-06-08,2410.00
2022-06-09,2342.00
2022-06-10,2320.00
2022-06-13,2260.00
2022-06-14,2284.00
2022-06-15,2387.00
2022-06-16,2462.00
2022-06-17,2578.00
2022-06-20,2596.00
2022-06-21,2484.00
2022-06-22,2349.00
2022-06-23,2354.00
2022-06-24,2331.00
2022-06-27,2295.00
2022-06-28,2204.00
2022-06-29,2186.00
2022-06-30,2240.00
2022-07-01,2214.00
2022-07-04,2159.00
2022-07-05,2098.00
2022-07-06,2043.00
2022-07-07,2073.00
2022-07-08,2067.00
2022-07-11,2081.00
2022-07-12,2013.00
2022-07-13,2002.00
2022-07-14,2010.00
2022-07-15,2150.00
2022-07-18,2162.00
2022-07-19,2145.00
2022-07-20,2113.00
2022-07-21,2118.00
2022-07-22,2146.00
2022-07-25,2114.00
2022-07-26,2061.00
2022-07-27,2007.00
2022-07-28,1945.00
2022-07-29,1895.00
2022-08-01,1872.00
2022-08-02,1817.00
2022-08-03,1731.00
2022-08-04,1603.00
2022-08-05,1560.00
2022-08-08,1566.00
2022-08-09,1564.00
2022-08-10,1592.00
2022-08-11,1556.00
2022-08-12,1477.00
2022-08-15,1404.00
2022-08-16,1387.00
2022-08-17,1394.00
2022-08-18,1320.00
2022-08-19,1279.00
2022-08-22,1270.00
2022-08-23,1271.00
2022-08-24,1213.00
2022-08-25,1123.00
2022-08-26,1082.00
2022-08-30,1017.00
2022-08-31,965.00
2022-09-01,1002.00
2022-09-02,1086.00
2022-09-05,1133.00
2022-09-06,1114.00
2022-09-07,1133.00
2022-09-08,1178.00
2022-09-09,1213.00
2022-09-12,1256.00
2022-09-13,1408.00
2022-09-14,1595.00
2022-09-15,1612.00
2022-09-16,1553.00
2022-09-20,1729.00
2022-09-21,1746.00
2022-09-22,1720.00
2022-09-23,1816.00
2022-09-26,1813.00
2022-09-27,1807.00
2022-09-28,1799.00
2022-09-29,1757.00
2022-09-30,1760.00
2022-10-03,1788.00
2022-10-04,1865.00
2022-10-05,1996.00
2022-10-06,1992.00
2022-10-07,1961.00
2022-10-10,1944.00
2022-10-11,1904.00
2022-10-12,1873.00
2022-10-13,1818.00
2022-10-14,1838.00
2022-10-17,1843.00
2022-10-18,1875.00
2022-10-19,1871.00
2022-10-20,1837.00
2022-10-21,1819.00
2022-10-24,1797.00
2022-10-25,1755.00
2022-10-26,1706.00
2022-10-27,1612.00
2022-10-28,1534.00
2022-10-31,1463.00
2022-11-01,1377.00
2022-11-02,1321.00
2022-11-03,1290.00
2022-11-04,1323.00
2022-11-07,1337.00
2022-11-08,1356.00
2022-11-09,1393.00
2022-11-10,1390.00
2022-11-11,1355.00
2022-11-14,1325.00
2022-11-15,1300.00
2022-11-16,1288.00
2022-11-17,1228.00
2022-11-18,1189.00
2022-11-21,1177.00
2022-11-22,1149.00
2022-11-23,1184.00
2022-11-24,1242.00
2022-11-25,1324.00
2022-11-28,1347.00
2022-11-29,1327.00
2022-11-30,1355.00
2022-12-01,1338.00
2022-12-02,1324.00
2022-12-05,1323.00
2022-12-06,1340.00
2022-12-07,1373.00
2022-12-08,1385.00
2022-12-09,1386.00
2022-12-12,1361.00
2022-12-13,1357.00
2022-12-14,1401.00
2022-12-15,1528.00
2022-12-16,1560.00
2022-12-19,1548.00
2022-12-20,1596.00
2022-12-21,1723.00
2022-12-22,1650.00
2022-12-23,1515.00
2023-01-03,1250.00
2023-01-04,1176.00
2023-01-05,1146.00
2023-01-06,1130.00
2023-01-09,1139.00
2023-01-10,1096.00
2023-01-11,1043.00
2023-01-12,976.00
2023-01-13,946.00
2023-01-16,946.00
2023-01-17,921.00
2023-01-18,874.00
2023-01-19,801.00
2023-01-20,763.00
2023-01-23,740.00
2023-01-24,721.00
2023-01-25,703.00
2023-01-26,677.00
2023-01-27,676.00
2023-01-30,680.00
2023-01-31,681.00
2023-02-01,668.00
2023-02-02,640.00
2023-02-03,621.00
2023-02-06,608.00
2023-02-07,601.00
2023-02-08,603.00
2023-02-09,592.00
2023-02-10,602.00
2023-02-13,616.00
2023-02-14,563.00
2023-02-15,541.00
2023-02-16,530.00
2023-02-17,538.00
2023-02-20,552.00
2023-02-21,594.00
2023-02-22,674.00
2023-02-23,816.00
2023-02-24,883.00
2023-02-27,935.00
2023-02-28,990.00
2023-03-01,1099.00
2023-03-02,1145.00
2023-03-03,1211.00
2023-03-06,1258.00
2023-03-07,1298.00
2023-03-08,1327.00
2023-03-09,1379.00
2023-03-10,1424.00
2023-03-13,1465.00
2023-03-14,1587.00
2023-03-15,1603.00
2023-03-16,1560.00
2023-03-17,1535.00
2023-03-20,1542.00
2023-03-21,1512.00
2023-03-22,1456.00
2023-03-23,1484.00
2023-03-24,1489.00
2023-03-27,1456.00
2023-03-28,1402.00
2023-03-29,1407.00
2023-03-30,1403.00
2023-03-31,1389.00
2023-04-03,1412.00
2023-04-04,1473.00
2023-04-05,1525.00
2023-04-06,1560.00
2023-04-11,1507.00
2023-04-12,1463.00
2023-04-13,1463.00
2023-04-14,1435.00
2023-04-17,1412.00
2023-04-18,1368.00
2023-04-19,1372.00
2023-04-20,1432.00
2023-04-21,1504.00
2023-04-24,1517.00
2023-04-25,1510.00
2023-04-26,1536.00
2023-04-27,1581.00
2023-04-28,1576.00
2023-05-02,1552.00
2023-05-03,1558.00
2023-05-04,1545.00
2023-05-05,1558.00
2023-05-09,1598.00
2023-05-10,1640.00
2023-05-11,1608.00
2023-05-12,1558.00
2023-05-15,1522.00
2023-05-16,1476.00
2023-05-17,1425.00
2023-05-18,1402.00
2023-05-19,1384.00
2023-05-22,1365.00
2023-05-23,1348.00
2023-05-24,1295.00
2023-05-25,1215.00
2023-05-26,1172.00
2023-05-30,1123.00
2023-05-31,977.00
2023-06-01,937.00
2023-06-02,919.00
2023-06-05,939.00
2023-06-06,1016.00
2023-06-07,1020.00
